Subject,Subtopic,Q_No,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Answer
Physics,Velocity and acceleration,19,Easy,Rate of change of velocity is,Speed,Distance,Acceleration,Force,C
Physics,Velocity and acceleration,20,Easy,"If a = 0 and u ≠ 0, the body",Accelerates,Decelerates,Moves with uniform velocity,Is at rest,C
Physics,Velocity and acceleration,21,Easy,Velocity can be,Positive,Negative,Zero,All of the above,D
Physics,Velocity and acceleration,22,Easy,Speed is always,Positive,Negative,Zero,Can be negative,A
Physics,Velocity and acceleration,23,Easy,The slope of velocity-time graph gives,Speed,Distance,Acceleration,Displacement,C
Physics,Velocity and acceleration,24,Easy,A car changes direction but not speed. Its velocity,Changes,Remains same,Increases,Decreases,A
Physics,Velocity and acceleration,25,Easy,"At maximum height, a ball thrown upward has velocity",Zero,Maximum,g,Minimum positive,A
Physics,Velocity and acceleration,26,Medium,A car accelerates from 10 m/s to 30 m/s in 5 s. Acceleration = ?,4 m/s2,5 m/s2,6 m/s2,2 m/s2,A
Physics,Velocity and acceleration,27,Medium,"A ball is thrown up at 25 m/s. After 3 s, velocity = ? (g=10m/s2)",5 m/s up,5 m/s down,25 m/s,0,A
Physics,Velocity and acceleration,28,Medium,A body starts from rest and moves with a=5m/s2 for 4s. Find velocity at t=4s.,10 m/s,20 m/s,25 m/s,40 m/s,B
Physics,Velocity and acceleration,29,Medium,A rocket has initial velocity 0 and reaches 200m/s in 10s. Acceleration = ?,10 m/s2,20 m/s2,100 m/s2,2 m/s2,B
Physics,Velocity and acceleration,30,Medium,A particle has velocity v = 4t2+3t. Acceleration at t=2s is,16 m/s2,19 m/s2,8 m/s2,29 m/s2,B
Physics,Velocity and acceleration,31,Medium,Two cars A and B moving at 30 m/s and 10 m/s in same direction. Relative velocity of A w.r.t. B = ?,40 m/s,20 m/s,30 m/s,10 m/s,B
Physics,Velocity and acceleration,32,Medium,A train decelerates at 3m/s2 from 30m/s. Time to stop = ?,10 s,5 s,15 s,3 s,A
Physics,Velocity and acceleration,33,Medium,Instantaneous speed = |Instantaneous velocity|. When are they equal?,When speed is constant,Always,When direction doesn't change,Never,C
Physics,Velocity and acceleration,34,Medium,A person walks at 2 m/s for 10s and then at 4 m/s for 10s. Average velocity = ?,3 m/s,2 m/s,4 m/s,6 m/s,A
Physics,Velocity and acceleration,35,Medium,"Acceleration of gravity on moon is g/6. If g = 9.8 m/s2, acceleration on moon = ?",1.63 m/s2,9.8 m/s2,58.8 m/s2,0 m/s2,A
Physics,Velocity and acceleration,36,Medium,A body moving at 20m/s is retarded at 4m/s2. Distance covered before stopping = ?,50 m,100 m,25 m,200 m,A
Physics,Velocity and acceleration,37,Medium,A ball dropped from 80m (g=10m/s2). Velocity when it hits ground = ?,20 m/s,40 m/s,80 m/s,10 m/s,B
Physics,Velocity and acceleration,38,Medium,"Velocity at end of 3rd second for u=0, a=4m/s2 is",12 m/s,16 m/s,8 m/s,4 m/s,A
Physics,Velocity and acceleration,39,Medium,A bus moving at 15m/s applies brakes and stops in 3s. Deceleration = ?,5 m/s2,3 m/s2,10 m/s2,15 m/s2,A
Physics,Velocity and acceleration,40,Medium,Relative acceleration of two bodies in free fall is,g,2g,0,g/2,C
Physics,Velocity and acceleration,41,Medium,Velocity of a freely falling body after n seconds = ?,ng,n/g,g/n,g2/n,A
Physics,Velocity and acceleration,42,Medium,A stone thrown upward at 30m/s. Time to reach maximum height (g=10m/s2) = ?,3 s,6 s,10 s,30 s,A
Physics,Velocity and acceleration,43,Medium,"For uniform circular motion, centripetal acceleration = v2/r. For v=10m/s, r=5m, a = ?",20 m/s2,2 m/s2,50 m/s2,0.5 m/s2,A
Physics,Velocity and acceleration,44,Medium,A particle with initial velocity 5m/s undergoes retardation 2m/s2. After 1s velocity = ?,7 m/s,3 m/s,5 m/s,2 m/s,B
Physics,Velocity and acceleration,45,Medium,Velocity increases from 0 to 60 km/h in 10 s. Average acceleration in m/s2 = ?,1.67 m/s2,6 m/s2,0.6 m/s2,16.7 m/s2,A
Physics,Velocity and acceleration,46,Medium,"If distance-time graph is a parabola, velocity-time graph is",Parabola,Straight line,Horizontal,Curve,B
Physics,Velocity and acceleration,47,Medium,"If velocity-time graph is a straight line with negative slope, acceleration is",Positive,Zero,Negative,Variable,C
Physics,Velocity and acceleration,48,Medium,"For constant deceleration, velocity changes",Linearly with time,Parabolically,Exponentially,None,A
Physics,Velocity and acceleration,49,Medium,A body has a=0 for t<5s and a=4m/s2 for t>5s. This means,Uniform velocity then acceleration,Acceleration then uniform velocity,Always uniform,Always accelerating,A
Physics,Velocity and acceleration,50,Medium,Acceleration at highest point of vertical throw = ?,Zero,g downward,g upward,Negative g,B
Physics,Velocity and acceleration,51,Hard,A particle moves along x-axis: x = 2t3 - 3t2 + 4. Velocity and acceleration at t=2s = ?,"v=12m/s, a=18m/s2","v=18m/s, a=18m/s2","v=12m/s, a=6m/s2","v=18m/s, a=6m/s2",A
Physics,Velocity and acceleration,52,Hard,Acceleration varies as a=4t. Velocity at t=3s if u=2m/s = ?,20 m/s,16 m/s,38 m/s,20 m/s,A
Physics,Velocity and acceleration,53,Hard,Two cars start from same point. A at 10m/s constant; B starts from rest at a=2m/s2. When does B overtake A?,10 s,5 s,8 s,15 s,A
Physics,Velocity and acceleration,54,Hard,A particle has v = 4 + 3t2. Acceleration at t = 0 is,3 m/s2,4 m/s2,0 m/s2,6 m/s2,C
Physics,Velocity and acceleration,55,Hard,"A body thrown up from top of tower at 10m/s, height 45m. Time to reach ground (g=10m/s2)?",4 s,3 s,5 s,6 s,B
Physics,Velocity and acceleration,56,Hard,Two stones dropped simultaneously from heights H and 4H. Ratio of velocities when they hit ground?,1:2,2:1,1:4,4:1,A
Physics,Velocity and acceleration,57,Hard,A car changes velocity from 20i + 30j to 40i + 10j m/s in 5s. Acceleration vector = ?,4i - 4j m/s2,20i - 20j m/s2,(4i-4j)/5 m/s2,2i - 5j m/s2,A
Physics,Velocity and acceleration,58,Hard,"v = u - gt. At t = u/g, velocity = 0. This represents",Ground level,Maximum height (zero velocity),Start of fall,End of motion,B
Physics,Velocity and acceleration,59,Hard,Instantaneous velocity is the limit of Δs/Δt as Δt approaches,Infinity,Zero,Unity,Maximum,B
Physics,Velocity and acceleration,60,Hard,For motion: 1st half distance at speed v1 and 2nd half at v2. Average speed = ?,(v1+v2)/2,2v1v2/(v1+v2),√(v1v2),v1v2/(v1+v2),B
Physics,Velocity and acceleration,61,Hard,A particle: v = 6t2 - 4t + 2. Find displacement from t=1 to t=3.,40 m,38 m,42 m,44 m,A
Physics,Velocity and acceleration,62,Hard,"A ball is thrown upward from a cliff at 15m/s. It reaches max height, then falls. Total distance travelled when it passes starting point = ?",45 m,22.5 m,30 m,15 m,C
Physics,Velocity and acceleration,63,Hard,"For motion under gravity, velocity time graph is a straight line with slope",g,−g,g/2,0,B
Physics,Velocity and acceleration,64,Hard,"For a car decelerating to rest in time T from speed V, average speed = ?",V,V/2,2V,V/3,B
Physics,Velocity and acceleration,65,Hard,A train 100m long passes a stationary train 200m long in 10s. Speed of moving train = ?,30 m/s,20 m/s,10 m/s,5 m/s,A
Physics,Velocity and acceleration,66,Hard,Velocity of a particle is given as v = 3t2 - 12t + 9. It comes to rest at t = ?,1 s and 3 s,2 s,3 s,4 s,A
Physics,Velocity and acceleration,67,Hard,"If a body is thrown at angle 45° and follows projectile motion, horizontal velocity component = ?",ucosθ = u/√2,usinθ = u/√2,u,0,A
Physics,Velocity and acceleration,68,Hard,A particle moves with v = 4+3t. Displacement from t=2 to t=4 is,24 m,22 m,30 m,26 m,D
Physics,Velocity and acceleration,69,Hard,"For a non-uniform acceleration a = 2t, if u = 0, velocity at t = 4 s is",16 m/s,8 m/s,32 m/s,4 m/s,A
Physics,Velocity and acceleration,70,Hard,Two cars A and B moving in opposite directions at 20 and 15 m/s. Relative velocity of A w.r.t. B = ?,5 m/s,35 m/s,300 m/s,15 m/s,B
Physics,Velocity and acceleration,71,Hard,"For v-t graph (right triangle from origin to t=10s, max v=20m/s), acceleration during this period = ?",2 m/s2,1 m/s2,10 m/s2,20 m/s2,A
Physics,Velocity and acceleration,72,Hard,A car's speedometer reads 100 km/h. This represents,Average speed,Instantaneous speed,Velocity,Average velocity,B
Physics,Velocity and acceleration,73,Hard,"If acceleration a = dv/dt = 5 - 2t, find velocity at t = 5s given v0 = 10 m/s",10 m/s,5 m/s,15 m/s,0 m/s,A
Physics,Velocity and acceleration,74,Hard,A body is projected up at 40m/s. Velocity when it has risen 60m (g=10m/s2) = ?,20 m/s,10 m/s,30 m/s,40 m/s,A
Physics,Velocity and acceleration,75,Hard,"In ticker-tape timer, dots are equally spaced when body has",Zero velocity,Uniform velocity,Uniform acceleration,Zero acceleration,B
Physics,Velocity and acceleration,76,Easy But Tricky,Velocity and speed are equal when,Body is at rest,Body moves in straight line with constant direction,Speed = 0,Always equal,B
Physics,Velocity and acceleration,77,Easy But Tricky,Acceleration can be zero even when velocity is not zero. True or False?,True,False,Only in special cases,Impossible,A
Physics,Velocity and acceleration,78,Easy But Tricky,A car moving in a circle at constant speed has,Constant velocity,Changing velocity,Zero acceleration,Constant acceleration,B
Physics,Velocity and acceleration,79,Easy But Tricky,Retardation is NOT acceleration. True or False?,True,False — retardation is negative acceleration,Only sometimes,Depends on context,B
Physics,Velocity and acceleration,80,Easy But Tricky,"If a = -g for a ball thrown up, then acceleration is",Always upward,Always downward,Zero at top,Changes direction,B
Physics,Velocity and acceleration,81,Easy But Tricky,Two bodies in free fall have different masses. Their accelerations are,Different (heavier faster),Same,Both zero,Proportional to mass,B
Physics,Velocity and acceleration,82,Easy But Tricky,Velocity can be negative. This means,Object moves backward,Speed is negative,Object is at rest,Acceleration is zero,A
Physics,Velocity and acceleration,83,Easy But Tricky,The velocity of a body at a particular instant is zero. This means the body is,Definitely at rest,Momentarily at rest,Moving slowly,Decelerating,B
Physics,Velocity and acceleration,84,Easy But Tricky,"If acceleration is constant and positive, velocity",Increases linearly,Increases parabolically,Decreases,Remains constant,A
Physics,Velocity and acceleration,85,Easy But Tricky,Magnitude of velocity (speed) can it be less than |average velocity|?,No,"Yes, in non-linear paths",Only if speed changes,Always yes,A
Physics,Velocity and acceleration,86,Easy But Tricky,A body thrown vertically upward has both velocity and acceleration upward at start.,Both upward,"Velocity up, acceleration down (gravity)",Both down,"Velocity zero, acceleration up",B
Physics,Velocity and acceleration,87,Easy But Tricky,Average speed can NEVER be,Less than average velocity magnitude,Greater than average velocity magnitude,Equal to average velocity magnitude,Negative,A
Physics,Velocity and acceleration,88,Easy But Tricky,"A car goes 60 km/h. After 1 hour, displacement =",60 km (only if moving straight),60 km always,Less than 60 km,More than 60 km,A
Physics,Velocity and acceleration,89,Easy But Tricky,"Uniform velocity means constant speed AND constant direction. If only speed is constant, motion is",Uniform,Non-uniform,Uniformly accelerated,Circular (non-uniform velocity),D
Physics,Velocity and acceleration,90,Easy But Tricky,Acceleration can exist even when speed is constant. This happens in,Linear motion,Circular motion,Free fall,All motions,B
Physics,Velocity and acceleration,91,Easy But Tricky,A car brakes and decelerates. The direction of acceleration is,Same as motion,Opposite to motion,Perpendicular to motion,None of these,B
Physics,Velocity and acceleration,92,Easy But Tricky,Centripetal acceleration is always directed,Along velocity,Away from center,Toward center,Tangentially,C
Physics,Velocity and acceleration,93,Easy But Tricky,"For zero acceleration, velocity-time graph is",Sloping,Horizontal line,Curved,Vertical,B
Physics,Velocity and acceleration,94,Easy But Tricky,Rate of change of speed is,Acceleration,Magnitude of acceleration,Not necessarily acceleration,Speed itself,C
Physics,Velocity and acceleration,95,Easy But Tricky,"If velocity doubles in 2 seconds, acceleration is",Same as velocity,Change in velocity/time = v/2 per second,v per second,Cannot tell without values,B
Physics,Velocity and acceleration,96,Easy But Tricky,A car's velocity goes from 20m/s north to 20m/s south. Change in velocity magnitude = ?,0,40 m/s,20 m/s,Cannot tell,B
Physics,Velocity and acceleration,97,Easy But Tricky,A body can have velocity even when acceleration = 0. True?,True,False,Only initially,Depends,A
Physics,Velocity and acceleration,98,Easy But Tricky,Velocity of 10 m/s east is different from 10 m/s west even though speed is same. Why?,"Same speed, same velocity",Speed same but velocity vectors different (different direction),Velocity depends on mass,None,B
Physics,Velocity and acceleration,99,Easy But Tricky,"A bus slows down and stops. During slowing, its","Speed decreases, velocity direction same",Speed increases,Both speed and velocity increase,Speed=0 but velocity>0,A
Physics,Velocity and acceleration,100,Easy But Tricky,Terminal velocity is when acceleration =,Maximum,Minimum,Zero,g,C
Physics,Newton's laws,1,Easy,Newton's first law is also called,Law of acceleration,Law of inertia,Law of action-reaction,Law of gravitation,B
Physics,Newton's laws,2,Easy,Newton's second law states,Action = Reaction,F = ma,Object at rest stays at rest,None,B
Physics,Newton's laws,3,Easy,Newton's third law states,F = ma,Every action has equal and opposite reaction,Object stays at rest,None,B
Physics,Newton's laws,4,Easy,The SI unit of force is,Joule,Pascal,Newton,Dyne,C
Physics,Newton's laws,5,Easy,Inertia is the tendency of a body to,Change its state of motion,Resist change in state of motion,Accelerate,None,B
Physics,Newton's laws,6,Easy,A body at rest will remain at rest unless acted upon by,Gravity,External force,Friction,Both A and C,B
Physics,Newton's laws,7,Easy,"F = ma. If m=5 kg and a=3 m/s2, F = ?",15 N,8 N,2 N,1.67 N,A
Physics,Newton's laws,8,Easy,1 Newton = ,1 kg·m/s,1 kg·m/s2,1 kg/m,1 kg·m2/s,B
Physics,Newton's laws,9,Easy,Which Newton's law explains why we fall forward when a bus brakes suddenly?,First,Second,Third,None,A
Physics,Newton's laws,10,Easy,Action and reaction forces act on,Same body,Different bodies,Same body in same direction,Same body in opposite directions,B
Physics,Newton's laws,11,Easy,The tendency of a body to resist rotational motion is,Inertia,Moment of inertia,Mass,Weight,B
Physics,Newton's laws,12,Easy,Mass is a measure of,Weight,Volume,Inertia,Density,C
Physics,Newton's laws,13,Easy,"Weight = mass x g. If mass = 10 kg and g=9.8 m/s2, weight = ?",9.8 N,98 N,980 N,0.98 N,B
Physics,Newton's laws,14,Easy,Inertia depends on,Velocity,Mass,Acceleration,Volume,B
Physics,Newton's laws,15,Easy,The net force on a body moving with constant velocity is,Zero,Maximum,Equal to weight,Equal to friction,A
Physics,Newton's laws,16,Easy,A body in equilibrium has net force equal to,Maximum,Zero,Its weight,Gravity,B
Physics,Newton's laws,17,Easy,F = ma shows force is proportional to,Mass only,Acceleration only,Both mass and acceleration,Neither,C
Physics,Newton's laws,18,Easy,"When a gun fires a bullet, the gun recoils. This is Newton's",First law,Second law,Third law,Universal law,C
Physics,Newton's laws,19,Easy,A 10 N force acts on 2 kg body. Acceleration = ?,20 m/s2,5 m/s2,12 m/s2,8 m/s2,B
Physics,Newton's laws,20,Easy,Friction is an example of,Applied force,Reaction force,Contact force,All of the above,C
Physics,Newton's laws,21,Easy,Newton's first law is valid only in,Rotating frames,Inertial frames of reference,Accelerating frames,None,B
Physics,Newton's laws,22,Easy,Pseudo force (fictitious force) arises in,Inertial frames,Non-inertial frames,All frames,None,B
Physics,Newton's laws,23,Easy,"If net force = 0 and body is moving, it",Stops,Continues with same velocity,Decelerates,Accelerates,B
Physics,Newton's laws,24,Easy,Action and reaction forces are,"Same in magnitude, same direction","Same in magnitude, opposite direction",Different in magnitude,Always equal to weight,B
Physics,Newton's laws,25,Easy,A ball hits a wall and bounces back. The wall exerts a force on the ball by,First law,Second law,Third law,Gravitation,C
Physics,Newton's laws,26,Medium,A body of mass 4 kg is pulled by two forces 10 N and 6 N in opposite directions. Net force and acceleration = ?,"4 N, 1 m/s2","16 N, 4 m/s2","4 N, 4 m/s2","16 N, 1 m/s2",A
Physics,Newton's laws,27,Medium,Apparent weight in a lift moving up with acceleration a is,m(g+a),m(g-a),mg,ma,A
Physics,Newton's laws,28,Medium,Apparent weight in a lift moving down with acceleration a is,m(g+a),m(g-a),mg,0,B
Physics,Newton's laws,29,Medium,Apparent weight in free fall is,mg,0,m(g+a),m(g-a),B
Physics,Newton's laws,30,Medium,A 60 kg person in lift with a=2m/s2 upward. Normal force = ? (g=10m/s2),600 N,720 N,480 N,60 N,B
Physics,Newton's laws,31,Medium,A rocket of mass 1000 kg has thrust 30000 N. Net upward force (g=10) = ?,20000 N,30000 N,10000 N,0,A
Physics,Newton's laws,32,Medium,"F = Δp/Δt (Newton's 2nd law in terms of momentum). If Δp = 20 N·s in 5 s, F = ?",100 N,4 N,25 N,15 N,B
Physics,Newton's laws,33,Medium,A horse pulls a cart. The cart exerts equal and opposite force on horse (3rd law). Why does cart move?,Force on cart from horse > force from ground friction,Equal forces cancel,Third law applies only to horse,Cart is lighter,A
Physics,Newton's laws,34,Medium,Inertia of a body is numerically equal to its,Weight,Momentum,Mass,Velocity,C
Physics,Newton's laws,35,Medium,A 500g ball is accelerated at 4m/s2. Force required = ?,2000 N,2 N,0.125 N,4 N,B
Physics,Newton's laws,36,Medium,"Two blocks on frictionless surface: 3 kg and 2 kg, pushed by 10N. Acceleration of system = ?",2 m/s2,5 m/s2,10 m/s2,3 m/s2,A
Physics,Newton's laws,37,Medium,Newton's law of motion is applicable for,Very small bodies (atomic),Very large bodies,Everyday macroscopic bodies,Relativistic bodies,C
Physics,Newton's laws,38,Medium,The force needed to stop a 2000 kg car moving at 20 m/s in 5 s is,8000 N,4000 N,10000 N,2000 N,A
Physics,Newton's laws,39,Medium,A body in equilibrium means,Net force = 0 and net torque = 0,Only net force = 0,Only net torque = 0,Body is at rest,A
Physics,Newton's laws,40,Medium,Swimming is possible because of Newton's,First law,Second law,Third law,Universal law,C
Physics,Newton's laws,41,Medium,Force of 5 N acts for 3 s on a 3 kg body at rest. Final velocity = ?,5 m/s,5/3 m/s,15 m/s,45 m/s,A
Physics,Newton's laws,42,Medium,Normal force is the,Weight of body,Reaction of surface perpendicular to it,Friction force,Applied force,B
Physics,Newton's laws,43,Medium,"On a frictionless surface, a body once pushed will",Stop eventually,Continue forever at constant velocity,Slow down,Stop immediately,B
Physics,Newton's laws,44,Medium,"A body of mass 5 kg on surface. If coefficient of kinetic friction μk=0.2, frictional force (g=10) = ?",10 N,100 N,0.2 N,50 N,A
Physics,Newton's laws,45,Medium,A 100 kg body starts from rest with F=200N applied for 10s. Distance covered = ?,100 m,200 m,50 m,400 m,A
Physics,Newton's laws,46,Medium,"Newton's third law: when you push a wall, the wall pushes you back. Can you move the wall?","Yes, always",Only if your force exceeds static friction/rigidity of wall,"No, forces cancel",Yes if you are heavier,B
Physics,Newton's laws,47,Medium,"If F=ma and m is doubled with same F, acceleration",Doubles,Halves,Remains same,Quadruples,B
Physics,Newton's laws,48,Medium,A person pushes a box with 20N and box pushes back with 20N. Why doesn't the person stand still?,The forces are unequal,Forces act on different objects (person moves due to friction on ground),Newton's 3rd law fails,None,B
Physics,Newton's laws,49,Medium,Impulse = F x Δt = Δp. This is derived from Newton's,First law,Second law,Third law,Universal law,B
Physics,Newton's laws,50,Medium,A 10 kg body is in free fall. Net force on it = ? (g=9.8),0 N,9.8 N,98 N,980 N,C
Physics,Newton's laws,51,Hard,"Three blocks connected by strings on frictionless surface pulled by F=60N. Masses 3, 2, 1 kg. Tension in string between 3 and 2 kg blocks = ?",40 N,30 N,20 N,10 N,A
Physics,Newton's laws,52,Hard,A block on inclined plane (30°) with mass 5kg. Normal force (g=10m/s2) = ?,50 N,43.3 N,25 N,86.6 N,B
Physics,Newton's laws,53,Hard,Two objects connected by string over pulley (Atwood's machine): masses 4 and 6 kg. Acceleration = ? (g=10),2 m/s2,4 m/s2,5 m/s2,1 m/s2,A
Physics,Newton's laws,54,Hard,"Atwood machine tension T = 2m1m2g/(m1+m2) for m1=4, m2=6, g=10. T = ?",48 N,24 N,96 N,12 N,A
Physics,Newton's laws,55,Hard,Apparent weight of 60kg person in lift accelerating down at g/4 = ? (g=10),600 N,450 N,750 N,150 N,B
Physics,Newton's laws,56,Hard,A body of mass m slides down smooth incline (angle θ). Acceleration along incline = ?,g cosθ,g sinθ,g tanθ,g,B
Physics,Newton's laws,57,Hard,Normal force on inclined plane (angle θ) for mass m = ?,mg sinθ,mg cosθ,mg,mg tanθ,B
Physics,Newton's laws,58,Hard,A bullet of mass 10g moving at 300m/s strikes a wall and stops in 0.01s. Force exerted = ?,300 N,3000 N,300000 N,3 N,A
Physics,Newton's laws,59,Hard,"Three masses 2, 3, 5 kg in contact on frictionless surface. 10N force on 2kg. Force between 3kg and 5kg = ?",5 N,3 N,2 N,6 N,A
Physics,Newton's laws,60,Hard,A 5 kg body rests on 3 kg body. 20N applied on 3kg on frictionless floor. Normal force between the two bodies = ? (g=10),12.5 N,50 N,20 N,62.5 N,A
Physics,Newton's laws,61,Hard,F-t graph: area under graph gives,Acceleration,Velocity,Impulse,Momentum change,D
Physics,Newton's laws,62,Hard,Two blocks of 3 and 5 kg connected by string over frictionless pulley. Acceleration = ? (g=10),2.5 m/s2,5 m/s2,10 m/s2,1.25 m/s2,A
Physics,Newton's laws,63,Hard,A car of 1000 kg accelerates from 0 to 20m/s in 10s. Average net force = ?,2000 N,1000 N,20000 N,200 N,A
Physics,Newton's laws,64,Hard,"For equilibrium on incline: friction = mg sinθ, Normal = mg cosθ. Coefficient μ = tanθ. For θ=30°, μ = ?",0.577,1.732,0.866,0.5,A
Physics,Newton's laws,65,Hard,"A 20 kg block pulled by 100N on surface with friction μ=0.3, g=10. Net force and acceleration = ?","40 N, 2 m/s2","100 N, 5 m/s2","60 N, 3 m/s2","70 N, 3.5 m/s2",A
Physics,Newton's laws,66,Hard,Tension in rope when 10kg mass is lifted with acceleration 2m/s2 (g=10) = ?,120 N,80 N,100 N,20 N,A
Physics,Newton's laws,67,Hard,"For a system of two masses (m1 pulling m2 on frictionless table over pulley): a = m1g/(m1+m2). T = m1m2g/(m1+m2). For m1=3, m2=7, g=10: a=?",3 m/s2,7 m/s2,10 m/s2,4.29 m/s2,A
Physics,Newton's laws,68,Hard,"Newton's 2nd law in rotational form: τ = Iα. This is analogous to F=ma where τ is torque, I is",Mass,Moment of inertia,Inertia,Angular velocity,B
Physics,Newton's laws,69,Hard,A 5 kg mass is on 10 kg cart. 30N applied to cart. Friction between mass and cart is 5N. Acceleration of cart = ? (surface frictionless),3 m/s2,2 m/s2,2.5 m/s2,1.5 m/s2,C
Physics,Newton's laws,70,Hard,A 1000 kg car brakes from 30m/s to 0 in 5s on flat road. Braking force = ?,3000 N,6000 N,15000 N,30000 N,B
Physics,Newton's laws,71,Hard,Net force on a 5kg body at rest on horizontal surface (g=10m/s2) from ground = ?,0 N (net force is zero),50 N upward,50 N (normal force = 50N),Both B and 50N net = 0,A
Physics,Newton's laws,72,Hard,Pseudo force (ma) acts in which direction in non-inertial frame?,Direction of acceleration of frame,Opposite to acceleration of frame,Perpendicular,Always downward,B
Physics,Newton's laws,73,Hard,"In rocket propulsion, thrust comes from",Air resistance,"Newton's 3rd law (exhaust backwards, rocket forward)",Newton's 1st law,Gravity,B
Physics,Newton's laws,74,Hard,"A block (5kg) on table, string over pulley to hanging 3kg. g=10, no friction. Acceleration = ?",3.75 m/s2,5 m/s2,1.875 m/s2,7.5 m/s2,A
Physics,Newton's laws,75,Hard,The law of conservation of momentum is derived from Newton's,First law,Second law,Third law,Universal law,C
Physics,Newton's laws,76,Easy But Tricky,Newton's First law gives the definition of,Force,Inertia,Mass,Both force and inertia,D
Physics,Newton's laws,77,Easy But Tricky,Action and reaction cancel each other out. True or False?,"True, always",False — they act on different bodies,Sometimes true,Only in equilibrium,B
Physics,Newton's laws,78,Easy But Tricky,A body moving at constant velocity has net force = 0. So there are no forces acting. True?,True,False — forces may exist but cancel,Only if in space,Only if no friction,B
Physics,Newton's laws,79,Easy But Tricky,"F = ma. If both F and m increase by same factor, a",Doubles,Remains same,Halves,Increases,B
Physics,Newton's laws,80,Easy But Tricky,A heavier body falls faster than a lighter body (in air). This is,Newton's 1st law,Newton's 2nd law,"Effect of air resistance, not Newton's law",Gravity only,C
Physics,Newton's laws,81,Easy But Tricky,Weight is a force. So weight = mass x g acts in which direction?,Upward,Downward,Sideways,No direction (scalar),B
Physics,Newton's laws,82,Easy But Tricky,Normal force is always equal to weight. True?,True,False — only on horizontal surfaces without vertical forces,True always,True only with friction,B
Physics,Newton's laws,83,Easy But Tricky,Newton's laws are valid at speeds close to light. True?,True,False — relativistic mechanics needed,Only for macroscopic bodies,Only in inertial frames,B
Physics,Newton's laws,84,Easy But Tricky,"If you push a 1kg and a 10kg block with same force on frictionless surface, which accelerates more?",10 kg,1 kg,Both same,Cannot determine,B
Physics,Newton's laws,85,Easy But Tricky,Inertia is the property of,Force,Mass,Weight,All,B
Physics,Newton's laws,86,Easy But Tricky,"In F = ma, a is acceleration of body. If two forces act on body, a is due to",Larger force,Smaller force,Net force,Average force,C
Physics,Newton's laws,87,Easy But Tricky,"A person sitting in moving train: if train stops suddenly, person falls",Backward,Forward (due to inertia of motion),Sideways,Does not fall,B
Physics,Newton's laws,88,Easy But Tricky,"For a body in free fall, apparent weight = ?",mg,Zero,2mg,mg/2,B
Physics,Newton's laws,89,Easy But Tricky,Newton's third law pair for weight (Earth pulling you down) is,Normal force from floor,You pulling Earth upward,Friction,Tension,B
Physics,Newton's laws,90,Easy But Tricky,"A rocket in space (no gravity, no air). If engine stops, rocket",Stops immediately,Continues at constant velocity (Newton's 1st),Decelerates,Accelerates,B
Physics,Newton's laws,91,Easy But Tricky,"Two equal masses connected by spring: if you push one, what happens?",Only pushed one moves,"Both move, spring transmits force",Neither moves,Spring breaks,B
Physics,Newton's laws,92,Easy But Tricky,Can a body have no force but have velocity?,No,Yes (uniform motion),Only initially,Never,B
Physics,Newton's laws,93,Easy But Tricky,Friction on a body at rest is,Zero,Maximum static friction,Equal to applied force (up to limit),Kinetic friction,C
Physics,Newton's laws,94,Easy But Tricky,The mass of a body changes with speed (relativistic mass). Newton's F=ma uses,Rest mass,Relativistic mass,Both,Neither,A
Physics,Newton's laws,95,Easy But Tricky,A body on a frictionless floor: push from behind = ?,Moves backward,Moves forward (in direction of push),Stays still,Spins,B
Physics,Newton's laws,96,Easy But Tricky,Normal force on a body on inclined plane (θ) compared to weight (mg): which is greater?,Normal force > mg,Normal force < mg,Normal force = mg,Depends on friction,B
Physics,Newton's laws,97,Easy But Tricky,A 100 N force on 5 kg body. Does it always produce a=20m/s2?,Yes,"No — net force determines a, not applied force alone",Only if no friction,Only on frictionless surface,D
Physics,Newton's laws,98,Easy But Tricky,Can the reaction to gravity (weight) be normal force from the floor?,Yes,No — they act on same body (floor is reaction to floor on body),Sometimes,Always,B
Physics,Newton's laws,99,Easy But Tricky,Impulse is a vector or scalar?,Scalar,Vector,Neither,Both,B
Physics,Newton's laws,100,Easy But Tricky,For two blocks on frictionless surface pulled by F: both accelerate with same a=F/(m1+m2). The tension in rope connecting them =,F,m2 x a,m1 x a,Zero,B
Physics,Momentum and impulse,1,Easy,Momentum is defined as,Mass / Velocity,Mass x Velocity,Velocity / Mass,Force x Time,B
Physics,Momentum and impulse,2,Easy,The SI unit of momentum is,N,kg·m/s,J,N·s,B
Physics,Momentum and impulse,3,Easy,Impulse is defined as,Force / Time,Force x Time,Momentum / Time,Change in velocity,B
Physics,Momentum and impulse,4,Easy,The SI unit of impulse is,kg·m/s,N·s,Both A and B,J,C
Physics,Momentum and impulse,5,Easy,Impulse equals,Change in force,Change in momentum,Change in velocity,Change in kinetic energy,B
Physics,Momentum and impulse,6,Easy,Momentum is a,Scalar quantity,Vector quantity,Both,Neither,B
Physics,Momentum and impulse,7,Easy,The law of conservation of momentum states,Momentum cannot exist,Total momentum of isolated system remains constant,Momentum increases with time,None,B
